"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"45451647098425344","","","","","2011-03-09 11:51:31 +0000","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry?</a>","Un especial saludo a las 9 personas que compartieron su metro cuadrado en el viaje conmigo en metro esta ma?ana, gracias por el calor humano"
"45088487552196608","","","","","2011-03-08 11:48:27 +0000","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","recomienda leer: 5 consejos para sacar m?s de GTD http://bit.ly/haP7Lj"
"44933518463209472","","","","","2011-03-08 01:32:40 +0000","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","recomienda leer: Cu?ndo llevar la c?mara y cuando no http://bit.ly/fm7RcG"
"44082412812107776","","","","","2011-03-05 17:10:40 +0000","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry?</a>","Vi a ivan torres en el super. Su cara de 'no me hueveen por el clima' era notoria"
"44067948050132992","","","","","2011-03-05 16:13:12 +0000","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","recomienda leer: clementina trapecista http://bit.ly/hJh5Hl"
"44056654899183616","","","","","2011-03-05 15:28:19 +0000","<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","I uploaded a YouTube video -- clementina trapecista http://youtu.be/TIkrtV8Y_Rk?a"
"44056530215112704","","","","","2011-03-05 15:27:49 +0000","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","nuevo video: clementina jugando http://bit.ly/ertoVp"
"44036319747387392","","","","","2011-03-05 14:07:31 +0000","<a href=""http://www.tumblr.com/"" rel=""nofollow"">Tumblr</a>","Video: Clementina trapecista http://tumblr.com/xwd1oht670"
"43759867483275264","","","","","2011-03-04 19:49:00 +0000","<a href=""https://wiki.ubuntu.com/Gwibber"" rel=""nofollow"">Ubuntu</a>","Sin embargo me subo a los balcones para gritar a todo lo que doy: Viva la cordillera de los Andes! Muera la Cordillera de la Costa!"
"43734236829716481","","","","","2011-03-04 18:07:09 +0000","<a href=""https://wiki.ubuntu.com/Gwibber"" rel=""nofollow"">Ubuntu</a>","y ud sabe en que parte de la intern? est? parado? y que tan lejos est?n los dem?s? http://is.gd/0DyXTT"
"43344853387591680","","","","","2011-03-03 16:19:53 +0000","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","recomienda leer: 7 Tips for Productively Working from Home http://bit.ly/gYzQoY"
"43292314302562304","","","","","2011-03-03 12:51:06 +0000","<a href=""https://wiki.ubuntu.com/Gwibber"" rel=""nofollow"">Ubuntu</a>","necesito uno de estos:  http://is.gd/k3k4kg ( me record? cuando le? starship troopers y alucin? con la infanteria movil )"
"42976725461778432","","","","","2011-03-02 15:57:04 +0000","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","recomienda leer: Cambio de hora, requiere evaluaci?n m?s profunda http://bit.ly/gatARY"
"42933966726115329","","","","","2011-03-02 13:07:09 +0000","<a href=""http://foursquare.com"" rel=""nofollow"">foursquare</a>","I just unlocked the ""Local"" badge on @foursquare! http://4sq.com/eci79g"
"42710553617104896","42708895726190593","65929720","","","2011-03-01 22:19:24 +0000","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry?</a>","@marbrandd hay muchos carabineros asi que va a haber jaleo"
"42707622457131008","","","","","2011-03-01 22:07:45 +0000","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry?</a>","De que es la protesta de hoy en plaza italia?"
"42656466481594368","","","","","2011-03-01 18:44:28 +0000","<a href=""http://foursquare.com"" rel=""nofollow"">foursquare</a>","I just became the mayor of Atentus Chile on @foursquare! http://4sq.com/9YPDg8"
"42609686540853248","","","","","2011-03-01 15:38:35 +0000","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","recomienda leer: Hazlo http://bit.ly/gmMWxu"
"42551071419269122","","","","","2011-03-01 11:45:40 +0000","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry?</a>","El a?o pasado pagu? la patente en constituci?n por el terremoto, este a?o habr? alg?n sistema similar?"
