"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"269419373251403776","","","","","2012-11-16 12:39:18 +0000","web","Las transparencias de mi charla del martes en el IV Curso Ciencia de las Redes de la C?tedra Orange en la UPM: http://t.co/WpxHU6kQ","http://www.slideshare.net/daniel.gayo/no-no-se-pueden-predecir-elecciones-con-twitter-15128015"
"268982153335939074","268826242386632704","92611073","","","2012-11-15 07:41:57 +0000","web","@putuko Te he respondido con un correo. En teor?a un adulto en pantalla puede leer a 180 palabras/minuto."
"268406497355132928","","","","","2012-11-13 17:34:30 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","Mi charla ""No, no se pueden predecir elecciones con Twitter"" en el IV Curso de Ciencia de Redes ya est? online: http://t.co/vK4wHu5N","http://youtu.be/wtgS_30wf7Y"
"268373033364893696","","","268353337869627392","25386861","2012-11-13 15:21:31 +0000","web","RT @halani: True! ?@rtroncy: ""Ontologies are toothbrushes"" ! Nobody wants to use one's ontology but the one they develop! #iswc2012?"
"268358940763516930","","","","","2012-11-13 14:25:32 +0000","web","Si nada falla dar? una videoconferencia en el curso de Ciencia de Redes (UPM) a las 17.00 de hoy. Seguidla en http://t.co/TUrKgvGW","http://www.youtube.com/user/danielgayo"
"268042706457092096","268001543960276993","19689981","","","2012-11-12 17:28:55 +0000","web","@takis_metaxas Thank you :)"
"267670432713412608","","","","","2012-11-11 16:49:38 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","More recently I've finished ""Earth's other shadow"" by R. Silverberg: impressive! Highly recommendable."
"267669107153977344","","","","","2012-11-11 16:44:22 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","I also read ""Chocky"" by J. Wyndham. Moderately interesting although a little naive."
"267668452393750528","","","","","2012-11-11 16:41:46 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","I recently finished ""The world of null-A"" by A.E. Van Vogt. Didn't like it at all!"
"267365723540684800","","","267244387845672960","220139885","2012-11-10 20:38:50 +0000","web","RT @StatFact: 'Prediction is very difficult, especially about the future.' -- Niels Bohr"
"267254582256750592","","","267080651679858688","196704627","2012-11-10 13:17:12 +0000","web","RT @pennockd: @rabeeh @PFCdgayo @DavMicRot Thanks. Here's the blog post: http://t.co/AEJXqf6Q And here's the draft academic paper: http: ...","http://news.yahoo.com/blogs/signal/obama-poised-win-2012-election-303-electoral-votes-202543583.html"
"267026060640657408","266890031959007233","95627544","","","2012-11-09 22:09:08 +0000","web","@genimarca Both of them are preprints and the first one will be there forever. It is more a rant than a paper :)"
"266933353717047297","266925631596527616","14201924","","","2012-11-09 16:00:45 +0000","web","@rjallain @PhysicsCentral Not a statistician so I don't discuss Silver but the na?vest of the baselines achieves 48/50 http://t.co/gfeoKlZQ","http://www.di.uniovi.es/~dani/PFCblog/index.php?entry=entry121107-092236"
"266665135047864320","","","266629223807078401","196704627","2012-11-08 22:14:57 +0000","web","RT @pennockd: ""you can predict outcomes of elections with pretty amazing accuracy pretty far away,"" @DavMicRot said. Feb 16, 2012 http:/ ..."
"266660885538406401","266637829835218944","132646210","","","2012-11-08 21:58:04 +0000","web","@damiano10 @mashable Thanks for the link!"
"266607885277097984","266537519359860736","495430242","","","2012-11-08 18:27:27 +0000","web","@IgorBrigadir I was aware of it but thank you :)"
